lead_key,business_name,city,category,phone,number_type,channel,lead_tier,lead_score,message,wa_link,status
ph:+918309975256,Yashoda Pearls & Jewels,Hyderabad,Jewelry Store,+918309975256,mobile,whatsapp,HOT,85,"Hi Yashoda Pearls & Jewels, this is TKVibes — a web studio based in Delhi. I saw your jewelry store on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918309975256?text=Hi%20Yashoda%20Pearls%20%26%20Jewels%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20jewelry%20store%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919821144764,Bangalore Dental & General Polyclinic,Bengaluru,Dental Clinic,+919821144764,mobile,whatsapp,HOT,85,"Hi Bangalore Dental & General Polyclinic, this is TKVibes — a web studio based in Delhi. I saw your dental clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919821144764?text=Hi%20Bangalore%20Dental%20%26%20General%20Polyclinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20dental%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+916366649777,Dr. Shekhar Reddy Dental Clinic,Bengaluru,Dental Clinic,+916366649777,mobile,whatsapp,HOT,85,"Hi Dr. Shekhar Reddy Dental Clinic, this is TKVibes — a web studio based in Delhi. I saw your dental clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/916366649777?text=Hi%20Dr.%20Shekhar%20Reddy%20Dental%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20dental%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919632944355,MM Clinic,Bengaluru,Medical Clinic,+919632944355,mobile,whatsapp,HOT,85,"Hi MM Clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919632944355?text=Hi%20MM%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+916363073798,Dr SHIVARAM HR - MBBS MD DNB FIPC ( Viveks Multispecality Clinic) JP Nagar,Bengaluru,Doctor,+916363073798,mobile,whatsapp,HOT,85,"Hi Dr SHIVARAM HR, this is TKVibes — a web studio based in Delhi. I saw your doctor on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/916363073798?text=Hi%20Dr%20SHIVARAM%20HR%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20doctor%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919008315858,D.R CLINIC,Bengaluru,Medical Clinic,+919008315858,mobile,whatsapp,HOT,85,"Hi D.R CLINIC, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919008315858?text=Hi%20D.R%20CLINIC%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919731932758,Dr. Mahesh P Shiva Specialist Clinic,Bengaluru,Medical Clinic,+919731932758,mobile,whatsapp,HOT,85,"Hi Dr. Mahesh P Shiva Specialist Clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919731932758?text=Hi%20Dr.%20Mahesh%20P%20Shiva%20Specialist%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918431613911,Akshaya Family Clinic,Bengaluru,Medical Clinic,+918431613911,mobile,whatsapp,HOT,85,"Hi Akshaya Family Clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918431613911?text=Hi%20Akshaya%20Family%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919980866101,Happy Clinics - Multispeciality,Bengaluru,Medical Clinic,+919980866101,mobile,whatsapp,HOT,85,"Hi Happy Clinics, this is TKVibes — a web studio based in Delhi. I came across your medical clinic site and put together a quick redesign concept showing how it could look. Want me to send it over? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919980866101?text=Hi%20Happy%20Clinics%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20came%20across%20your%20medical%20clinic%20site%20and%20put%20together%20a%20quick%20redesign%20concept%20showing%20how%20it%20could%20look.%20Want%20me%20to%20send%20it%20over%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919380457346,Bajarangi Clinic,Bengaluru,Medical Clinic,+919380457346,mobile,whatsapp,HOT,85,"Hi Bajarangi Clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919380457346?text=Hi%20Bajarangi%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+917975748049,Chethana Clinic,Bengaluru,Medical Clinic,+917975748049,fixed_or_mobile,whatsapp,HOT,85,"Hi Chethana Clinic, this is TKVibes — a web studio based in Delhi. I saw your medical clinic on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/917975748049?text=Hi%20Chethana%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20medical%20clinic%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919482955900,Maruthi Pet Care Centre,Bengaluru,Veterinary Care,+919482955900,mobile,whatsapp,HOT,85,"Hi Maruthi Pet Care Centre, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919482955900?text=Hi%20Maruthi%20Pet%20Care%20Centre%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918277431186,BTM VET clinic,Bengaluru,Veterinary Care,+918277431186,fixed_or_mobile,whatsapp,HOT,85,"Hi BTM VET clinic, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918277431186?text=Hi%20BTM%20VET%20clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+918296143115,Dr. Ravi's Pet Clinic,Bengaluru,Veterinary Care,+918296143115,mobile,whatsapp,HOT,85,"Hi Dr. Ravi's Pet Clinic, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/918296143115?text=Hi%20Dr.%20Ravi%27s%20Pet%20Clinic%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
ph:+919606994627,Dr. Paws Indiranagar | 24x7 Veterinary Hospital,Bengaluru,Veterinary Care,+919606994627,mobile,whatsapp,HOT,85,"Hi Dr. Paws Indiranagar, this is TKVibes — a web studio based in Delhi. I saw your veterinary care on Google Maps but couldn't find a website. I put together a free sample homepage for you — want me to send it across? No cost, no obligation. Reply STOP to opt out.",https://wa.me/919606994627?text=Hi%20Dr.%20Paws%20Indiranagar%2C%20this%20is%20TKVibes%20%E2%80%94%20a%20web%20studio%20based%20in%20Delhi.%20I%20saw%20your%20veterinary%20care%20on%20Google%20Maps%20but%20couldn%27t%20find%20a%20website.%20I%20put%20together%20a%20free%20sample%20homepage%20for%20you%20%E2%80%94%20want%20me%20to%20send%20it%20across%3F%20No%20cost%2C%20no%20obligation.%20Reply%20STOP%20to%20opt%20out.,pending_review
